labels,text
es,"De Wikipedia, la enciclopedia libre Ir a la navegación Ir a la búsqueda Cosmos 1001 Operador Programa espacial de la Unión Soviética ID COSPAR 1978-036A no"
es," SATCAT 10783 Duración de la misión 10,87 días Propiedades de la nave Nave Soyuz T Masa de lanzamiento 6850 kg Tripulación Tamaño No tripulada Comienzo de la misión Lanzamiento 4 de abril de 1978 Vehículo Soyuz-U Lugar Plataforma Gagarin Fin de la misión Aterrizaje 15 de abril de 1978 [ editar datos en Wikidata ] Cosmos 1001 fue el nombre dado a una misión de prueba no tripulada de la cápsula Soyuz T que finalizó en fracaso"
es, Fue lanzada el 4 de abril de 1978 desde el cosmódromo de Baikonur mediante un cohete Soyuz 
es," La órbita inicial tenía un perigeo de 199 km y un apogeo de 228 km, con una inclinación orbital de 51,6 grados y un período de 88,7 minutos "
es," La duración del vuelo fue de 10,87 días, durante las que realizó diferentes maniobras orbitales , con un delta V total de 60 m/s"
es, La cápsula fue recuperada el 15 de abril de 1978
es, En su momento fue oficialmente un lanzamiento para investigar la atmósfera superior y el espacio exterior
es," Véase también [ editar ] Soyuz T Referencias [ editar ] Wade, Mark (2008)"
es, «Soyuz T» (en inglés) 
es, Consultado el 8 de mayo de 2009 
es, Control de autoridades Proyectos Wikimedia Datos: Q1785034 Identificadores astronómicos COSPAR: 1978-036A SCN : 10783 Datos: Q1785034 Obtenido de « https://es
es,php?title=Cosmos_1001&oldid=133144817 » Categorías : Programa Soyuz Satélites Cosmos
en,"From Wikipedia, the free encyclopedia Jump to navigation Jump to search Japanese weightlifter Sueo Fujishiro Personal information Nationality Japanese Born ( 1949-04-11 ) 11 April 1949 (age 73) Sport Sport Weightlifting Sueo Fujishiro (born 11 April 1949) is a Japanese weightlifter "
en, He competed in the men's light heavyweight event at the 1976 Summer Olympics 
en," [1] References [ edit ] ^ Evans, Hilary; Gjerde, Arild; Heijmans, Jeroen; Mallon, Bill ;  et al"
en," ""Sueo Fujishiro Olympic Results"" "
en, Olympics at Sports-Reference
en, Sports Reference LLC 
en, Archived from the original on 17 April 2020 
en, Retrieved 10 January 2020 
en, This biographical article relating to weightlifting in Japan is a stub 
en, You can help Wikipedia by expanding it 
en," v t e Retrieved from "" https://en"
en,"php?title=Sueo_Fujishiro&oldid=958095692 "" Categories : 1949 births Living people Japanese male weightlifters Olympic weightlifters of Japan Weightlifters at the 1976 Summer Olympics Asian Games medalists in weightlifting Weightlifters at the 1974 Asian Games Asian Games gold medalists for Japan Medalists at the 1974 Asian Games Japanese weightlifting biography stubs Hidden categories: Articles with short description Short description matches Wikidata Use dmy dates from January 2020 AC with 0 elements Place of birth missing (living people) All stub articles"
en,"From Wikipedia, the free encyclopedia Jump to navigation Jump to search Breithaupt is the surname of: August Breithaupt (1791–1873), German mineralogist Jim Breithaupt , Canadian politician Louis Breithaupt (tanner) (1827–1880), German-born tanner and politician in Ontario, Canada Louis Jacob Breithaupt (1855–1939), manufacturer and politician in Ontario, Canada Louis Orville Breithaupt (1890–1960), politician and Lieutenant Governor of Ontario Scot Breithaupt , American entrepreneur The name may also refer to: Breithaupt v"
en," Abram , a 1957 case in which the Supreme Court of the United States held that in some circumstances, involuntary blood samples may be used as evidence in criminal prosecutions Surname list This page lists people with the surname Breithaupt "
en," If an internal link intending to refer to a specific person led you to this page, you may wish to change that link by adding the person's given name (s) to the link"
en," Retrieved from "" https://en"
en,"php?title=Breithaupt&oldid=885640641 "" Categories : Surnames Hidden categories: Articles with short description Short description is different from Wikidata All set index articles"
de,"aus Wikipedia, der freien Enzyklopädie Zur Navigation springen Zur Suche springen 59"
de,"845833 Koordinaten: 59° 28′ N , 26° 51′ O Aseriaru ​ Estland Bewachsenes Klint bei Aseriaru Aseriaru ist ein Dorf ( estnisch küla ) in der Landgemeinde Aseri ( Aseri vald )"
de, Es liegt im Kreis Ida-Viru ( Ost-Wierland ) im Nordosten Estlands 
de, Beschreibung und Geschichte [ Bearbeiten | Quelltext bearbeiten ] Das Dorf hat 30 Einwohner (Stand 2011)
de, [1] Es liegt direkt am Ufer des Finnischen Meerbusens 
de, Vom Klint bei Aseriaru ergibt sich ein weiter Blick über die Ostsee 
de, Einzelnachweise [ Bearbeiten | Quelltext bearbeiten ] ↑ Archivlink ( Memento vom 22
de, Juli 2012 im Internet Archive ) Dörfer der Landgemeinde Aseri Aseri | Aseriaru | Kalvi | Kestla | Koogu | Kõrkküla | Kõrtsialuse | Oru | Rannu Abgerufen von „ https://de
de,php?title=Aseriaru&oldid=210762594 “ Kategorien : Ort in Estland Geographie (Viru-Nigula)
en,"From Wikipedia, the free encyclopedia Jump to navigation Jump to search May 2011 Peshawar bombing Location Peshawar , Pakistan Date 10 May 2011 9:15 p"
en," ( PST +5) Target Nasrullah Khan Afridi Attack type Car bombing , assassination Deaths 1 Victim Nasrullah Khan Afridi The May 2011 Peshawar bombing occurred in Peshawar , Pakistan , when a car bomb was detonated as Nasrullah Khan Afridi (c"
en, 1971-10 May 2011) entered his car after leaving the Tribal Union of Journalists offices
en, [1] The bomb instantly killed Afridi
en, No one has been suspected or arrested for the attack
en," As a tribal journalist, Afridi made many enemies through his journalism"
en, The incident took place in Peshawar's Khyber super market
en, [2] Contents 1 Nasrullah Khan Afridi 2 Bombing 3 Context 4 Response 5 See also 6 References Nasrullah Khan Afridi [ edit ] Nasrullah Khan Afridi had been a journalist for 10 years
en, [1] The Committee to Protect Journalists said Afridi was a role model journalist in the tribal areas of Pakistan
en," [3] Afridi worked for the Urdu -language newspaper, Mashriq , before he died"
en," [4] He left behind three sons, three daughters, and a widow"
