,labels,text
0,es,"De Wikipedia, la enciclopedia libre Ir a la navegación Ir a la búsqueda Soulaires Entidad subnacional Soulaires Localización de Soulaires en Francia Ubicación de Soulaires Coordenadas 48°31′00″N 1°35′15″E ﻿ / ﻿ 48"
1,es,5875 Entidad Comuna de Francia • País Francia • Región Centro • Departamento Eure y Loir • Distrito distrito de Chartres • Cantón cantón de Maintenon • Mancomunidad Communauté de communes des Terrasses et Vallées de Maintenon Superficie • Total 5
2,es,87 km² Altitud • Máxima 157 m s
3,es, Población (1999) • Total 423 hab
4,es," • Densidad 79,56 hab/km² Huso horario CET ( UTC +1 ) • en verano CEST ( UTC +2 ) Código postal 28130 [ 1 ] ​ Código INSEE 28379 [ 2 ] ​ Sitio web oficial [ editar datos en Wikidata ] Soulaires es una población y comuna francesa , en la región de Centro , departamento de Eure y Loir , en el distrito de Chartres y cantón de Maintenon "
5,es, Demografía [ editar ] Evolución demográfica de Soulaires 1962 1968 1975 1982 1990 1999 212 269 278 289 433 423 Para los censos de 1962 a 1999 la población legal corresponde a la población sin duplicidades (Fuente: INSEE [Consultar] ) Enlaces externos [ editar ] INSEE Elecciones municipales de 2008 Control de autoridades Proyectos Wikimedia Datos: Q674019 Multimedia: Soulaires Identificadores WorldCat VIAF : 358147093730225002001 BNF : 152543094 (data) Lugares OSM : 1755474 INSEE : 28379 Datos: Q674019 Multimedia: Soulaires ↑ Worldpostalcodes
6,es," ↑ INSEE , Datos de población para el año 2012 de Soulaires (en francés)"
7,es, Obtenido de « https://es
8,es,php?title=Soulaires&oldid=120388790 » Categoría : Localidades de Eure y Loir Categorías ocultas: Wikipedia:Artículos con datos por trasladar a Wikidata Wikipedia:Artículos con datos locales Wikipedia:Artículos con ficha sin actualizar Wikipedia:Artículos con identificadores VIAF Wikipedia:Artículos con identificadores BNF Wikipedia:Artículos con identificadores Relación OSM Wikipedia:Artículos con identificadores INSEE (comuna)
9,de,"aus Wikipedia, der freien Enzyklopädie Zur Navigation springen Zur Suche springen Sitka-Fichte Sitka-Fichte ( Picea sitchensis ) Systematik Klasse : Coniferopsida Ordnung : Koniferen (Coniferales) Familie : Kieferngewächse (Pinaceae) Unterfamilie : Piceoideae Gattung : Fichten ( Picea ) Art : Sitka-Fichte Wissenschaftlicher Name Picea sitchensis ( Bong"
10,de, ) Carrière Die Sitka-Fichte ( Picea sitchensis ) ist eine Pflanzenart aus der Gattung der Fichten ( Picea ) innerhalb der Familie der Kieferngewächse (Pinaceae)
11,de, Die im westlichen Nordamerika heimische Picea sitchensis ist die größte Art der Gattung Fichten ( Picea )
12,de, Sie liefert in ihrem natürlichen Verbreitungsgebiet ein geschätztes Nutzholz 
13,de, Picea sitchensis wurde nach der Stadt Sitka in Alaska benannt und ist der offizielle Staatsbaum des US-Bundesstaates Alaska
14,de, Inhaltsverzeichnis 1 Beschreibung 1
15,de,2 Knospen und Belaubung 1
16,de,"3 Blüten, Zapfen und Samen 1"
17,de,5 Wurzelsystem und Symbiose 1
18,de,7 Holz 2 Verbreitung und Standort 3 Nutzung 4 Krankheiten und Schädlinge 4
19,de,1 Schädlinge und Krankheiten in Europa 5 Systematik 5
20,de,2 Äußere Systematik 5
21,de,3 Hybride 6 Quellen 6
22,de,"2 Einzelnachweise 7 Weblinks Beschreibung [ Bearbeiten | Quelltext bearbeiten ] Stämme mit Borke Habitus [ Bearbeiten | Quelltext bearbeiten ] Die Sitka-Fichte ist ein immergrüner Baum , der Wuchshöhen von 50 bis 70 Metern, in seltenen Fällen über 96 Metern, bei einem Stammdurchmesser von bis zu 5 Metern erreicht"
23,de, Sie ist damit die größte aller Fichten-Arten
24,de, Das Höchstalter wird mit rund 800 Jahren angegeben
25,de, [1] In den ersten Lebensjahren ist dieser Baum eher langsamwüchsig
26,de, Er kann mit 50 Jahren Wuchshöhen von bis zu 27 Metern erreichen
27,de, [2] Die Krone von Jungbäumen ist schmal kegelförmig; an älteren Bäumen verjüngt sich die Spitze noch gleichmäßig kegelförmig
28,de, Frei stehende Altbäume besitzen eine breite Krone und sind meist bis zum Boden beastet
29,de, Die Äste stehen waagerecht ab und sind nur im oberen Kronenbereich aufwärts gerichtet
30,de," Durch die Bildung von Ersatztrieben ( Proventivtrieben ) ist die Sitka-Fichte in der Lage, nach Stürmen Schäden im Kronenbereich zu regenerieren"
31,de," [3] Bäume, die an Wasserläufen oder in Überschwemmungsgebieten wachsen, bilden häufig Wassertriebe aus"
32,de, [2] Knospen und Belaubung [ Bearbeiten | Quelltext bearbeiten ] Zweige mit Nadeln Die gelblichbraunen Winterknospen sind spitz-kegelförmig
33,de," Sie werden zwischen vier und fünf Millimeter lang, wobei sie im oberen Kronenbereich größer werden als im unteren"
34,de, Die Knospenschuppen sind eng anliegend
35,de, [3] Die Nadeln sind 15 bis 25 Millimeter lang und etwa 1 Millimeter breit
36,de," Sie sind im Querschnitt relativ flach, steif und scharf zugespitzt"
37,de, An der Unterseite sind sie gekielt
38,de, Auf jeder Seite des Kiels befinden sich fünf bis acht Spaltöffnungsreihen 
39,de," Sie stehen großteils radial von den Zweigen ab, an der Zweigunterseite sind sie jedoch meist gescheitelt"
40,de," Die Nadeloberseite ist frisch grün, die Nadelunterseite silbrig graugrün gefärbt"
41,de, Die Nadeln verbleiben fünf bis sechs Jahre am Baum
42,de," Blüten, Zapfen und Samen [ Bearbeiten | Quelltext bearbeiten ] Reifer Zapfen Die Sitka-Fichte ist einhäusig-getrenntgeschlechtig ( monözisch ) und wird mit 20 bis 40 Jahren mannbar "
43,de, Die Blütezeit hängt vom Standort und der Temperatur ab und beginnt Ende April im südlichen Teil des Verbreitungsgebiets und endet Anfang Juni im Nordwesten des Verbreitungsgebietes
44,de," [2] Die dunkelroten männlichen Blütenzapfen entwickeln sich aus kleinen Knospen, die an Seitentrieben von jungen Zweigen im mittleren und unteren Kronendrittel stehen"
45,de," Die weiblichen Blütenzapfen entwickeln sich aus großen Knospen, die im oberen Kronendrittel stehen"
46,de," [4] Die kurz gestielten Zapfen sind bei einer Länge von 6 bis 10 Zentimetern sowie einem Durchmesser von 2,5 bis 3 Zentimetern zylindrisch mit stumpfem oberen Ende"
47,de," Die länglich-ovalen Zapfenschuppen sind dünn, unregelmäßig gezähnt und liegen nicht fest an"
48,de, Die Zapfen sind anfangs grünlich gelb gefärbt und färben sich zur Reife hin hellbraun
49,de, Die braunen Samen reifen Ende August bis Anfang September des Blütejahres
50,de, [2] Die geflügelten Samen sind mit Flügel etwa 10 Millimeter lang
51,de, Ohne Flügel beträgt die Länge 2 bis 3 Millimeter
52,de," Das Tausendkorngewicht beträgt rund 2,16 Gramm"
53,de, [4] Chromosomenzahl [ Bearbeiten | Quelltext bearbeiten ] Die Chromosomenzahl beträgt 2n = 24
54,de, [5] Wurzelsystem und Symbiose [ Bearbeiten | Quelltext bearbeiten ] Als Flachwurzler dringt das Wurzelsystem der Sitka-Fichte in Tiefen von bis zu 2 Meter vor
55,de, Dabei kann es bis zu 23 Meter lange Seitenwurzeln ausbilden
56,de, Diese wachsen rund 42 bis 167 Zentimeter pro Jahr
57,de, Zwischen verschiedenen Bäumen kann es zu Wurzelverwachsungen kommen
58,de," Auf Sauerstoffmangel, zum Beispiel durch Staunässe, reagieren die Wurzeln sehr empfindlich und stellen in solchen Bodenbereichen ihr Wachstum ein"
59,de, Die Sitka-Fichte geht mit über 100 Pilzarten eine Ektomykorrhiza -Symbiose ein
60,de," Zu den häufigsten Mykhorrhizapartnern gehören der Perlpilz ( Amanita rubescens ), der Tonblasse Fälbling ( Hebeloma crustuliniforme ), der Violette Lacktrichterling ( Laccaria amethystea ), der Rötliche Lacktrichterling ( Laccaria laccata ), der Kahle Krempling ( Paxillus involutus ), der Ockertäubling ( Russula ochroleuca ), der Grasgrüne Täubling ( Russula aeruginea ), Cenococcum geophilum , Laccaria hepaticus , Laccaria tumidus , Laccaria turbos und Telephora terrestris "
61,de, [6] Borke [ Bearbeiten | Quelltext bearbeiten ] Die sehr dünne Borke ist bei jungen Exemplaren dunkelgrau und abschuppend
62,de, Mit zunehmendem Alter des Baumes wird sie rötlich mit groben abspringenden Schuppen
63,de," Die Rinde junger Zweige ist kahl, braun und deutlich gefurcht"
64,de, Sie sind dicht mit relativ großen und abstehenden Nadelkissen besetzt
65,de, Holz [ Bearbeiten | Quelltext bearbeiten ] Das gelblichbraune Kernholz wird von einem weißlichgelben bis weißlichgrauen Splint umgeben
66,de, Das weiche Holz ist relativ leicht und geradfaserig
67,de," Die Jahresringe, die manchmal wellig verlaufen können, sind gut zu erkennen"
68,de, Das leicht zu bearbeitende Holz trocknet schnell
69,de, Besonders das Holz von Bäumen aus den nördlichen Teilen des Verbreitungsgebietes ist stark astig
70,de," Mechanische Eigenschaften Wert Einheit Darrdichte ( r 0 {\displaystyle r_{0}} ) 0,42 g/cm³ Druckfestigkeit 450 kg/cm² Biegefestigkeit 720 kg/cm² Zugfestigkeit 780 kg/cm² Verbreitung und Standort [ Bearbeiten | Quelltext bearbeiten ] Verbreitungsgebiet Natürlicher Mischwald mit der Sitka-Fichte als dominierende Baumart Die Sitka-Fichte kommt entlang der Westküste Nordamerikas von der Insel Kodiak in Alaska bis zum Mendocino County [2] in Nordkalifornien vor"
71,de," Sie ist meersalztolerant, so dass man sie auch direkt am Meer findet"
72,de,"
Landeinwärts reicht ihr Areal oft nicht weiter als 30 Kilometer und besitzt nur eine Breite von bis zu 210 Kilometer"
73,de, Das Verbreitungsgebiet erstreckt sich über eine Länge von etwa 2
74,de,"500 Kilometern, in dem sie normalerweise nicht auf Höhenlagen über 300 Meter aufsteigt"
75,de, Das höchste Vorkommen liegt bei 910 Meter in Südost-Alaska an der Waldgrenze
76,de,"
Es gibt nur noch wenige unberührte Bestände alter Sitka-Fichten"
77,de,"
Einige befinden sich auf Vancouver Island in Britisch-Kolumbien , wo man noch ursprüngliche und sehr wuchskräftige Bestände findet"
78,de," Die Sitka-Fichte gedeiht im nebel- und regenreichen Küstenklima mit geringen Temperaturextremen, milden Wintern und kühlen Sommern"
79,de, Die jährliche Niederschlagsmenge im Verbreitungsgebiet beträgt je nach Standort 660 bis 3
80,de," Teilweise wird der Regen durch lang anhaltende Nebel ersetzt und ermöglicht so, dass die Art auch an niederschlagsarmen Standorten wächst"
81,de, Die Böden sollten tiefgründig und locker sein und über eine gute Wasserversorgung verfügen
82,de, Flachgründige Böden sowie Moor - und Torfböden werden meist gemieden
83,de, Als Standort werden vor allem Flussniederungen und wasserzügige Hanglagen bevorzugt
84,de," Der pH-Wert des Bodens sollte zwischen 4,0 und 5,7 liegen"
85,de, Bodenverdichtung und Staunässe wirken sich negativ auf das Wurzelwachstum aus
86,de," Es werden hohe Ansprüche an die Calcium -, Magnesium - und Phosphor -Versorgung gestellt"
87,de, Wichtiger als die Nährstoffversorgung ist jedoch die Wasserversorgung
